Part,Value,Device,Package,Description,DIGIKEY_PART#,Mfg,Part#, Q1 [CAD] , Q10 [CAD] , Q100 [CAD] ,Need, Subtotal ,,Buy, Subtotal 
R33,51R,RESISTOR_0603,RESC1608X55N,RES 49.9 OHM 1/10W 1% 0603 SMD,RHM49.9CFCT-ND,Rohm Semi,MCR03ERTF49R9,,$0.01,,2,$0.11,,10,$0.11
R7,51R,RESISTOR_0603,RESC1608X55N,,,,,,,,,,,,
R4,540K,RESISTOR_0603,RESC1608X55N,RES 536K OHM 1/10W 1% 0603,1276-4907-1-ND,Samsung ,RC1608F5363CS,,$0.02,,1,$0.17,,10,$0.17
R19,5K6,RESISTOR_0603,RESC1608X55N,RES 5.6K OHM 1/10W 1% 0603 SMD,RHM5.6KCFCT-ND,Rohm Semi,MCR03ERTF5601,,$0.01,,1,$0.11,,10,$0.14
R6,5R1,RESISTOR_0603,RESC1608X55N,,,,,,,,,,,,
L4,600R,RESISTOR_0603,RESC1608X55N,FERRITE 300MA 600 OHM 0603 SMD,240-2380-1-ND,Laird,HZ0603C601R-10,$0.10,$0.07,,6,$0.60,,20,$1.38
L5,600R,RESISTOR_0603,RESC1608X55N,,,,,,,,,,,,
L6,600R,RESISTOR_0603,RESC1608X55N,,,,,,,,,,,,
L7,600R,RESISTOR_0603,RESC1608X55N,,,,,,,,,,,,
L8,600R,RESISTOR_0603,RESC1608X55N,,,,,,,,,,,,
L9,600R,RESISTOR_0603,RESC1608X55N,,,,,,,,,,,,
R73,75R,RESISTOR_0603,RESC1608X55N,RES 75 OHM 1/10W 1% 0603 SMD,RHM75.0CFCT-ND,Rohm Semi,MCR03ERTF75R0,,$0.01,,3,$0.11,,10,$0.14
R74,75R,RESISTOR_0603,RESC1608X55N,,,,,,,,,,,,
R75,75R,RESISTOR_0603,RESC1608X55N,,,,,,,,,,,,
R9,82K,RESISTOR_0603,RESC1608X55N,RES 82K OHM 1/10W 1% 0603 SMD,RHM82KCFCT-ND,Rohm Semi,MCR03ERTF8202,,$0.01,,1,$0.11,,10,$0.14
L1,CIS21J121NE,RESISTOR_0805,RESC2012X70N,FERRITE CHIP 120 OHM 5000MA 0805,1276-6369-1-ND,Samsung,CIS21J121NE,$0.10,$0.04,,1,$0.10,,10,$0.42
JP1,SCREW-TERM_3.5MM,SCREW-TERM_3.5MM,SCREWTERMINAL-3.5MM-2,Screw Terminal:,ED2740-ND,On Shore Tech,OSTTE020104,$0.42,,,1,$0.42,,2,$0.84
U18,SI5351ABGT,SI5351ABGT,MSOP-10,IC CLK GENERATOR 160MHZ 10MSOP,336-2399-5-ND , Silicon Lab,SI5351A-B-GT,$1.55,,,1,$1.55,,2,$3.10
J5,STX-4235,STX-4235,STX-4235-3,Kycon: stx-4235-3/3-N (Mouser),CP-351033-ND,CUI Inc,SJD-3510-33,$2.06,,,1,$2.06,,1,$2.06
U2,TCM809XXNB,TCM809XXNB,SOT95P280X135-3N,Power supply supervisor.,TCM809LENB713CT-ND ,Microchip,TCM809LENB713,$0.47,,,1,$0.47,,2,$0.94
J6,TE-1932739,TE-1932739,TE-1932739,"MICRO SD SOCKET PUSH/PULL,1.45 H",A118085CT-ND,TE Connectivity,1932739-1,$2.76,,,1,$2.76,,1,$2.76
U9,TPA6139A2PW,TPA6139A2PW,TSSOP14,TI Headphone amplifier - Audio path,296-28249-1-ND,TI,TPA6139A2PWR,$1.32,,,1,$1.32,,1,$1.32
TP1,TPSQTP07R,TPSQTP07R,TP07R,Test pad,,,,,,,,,,,
TP2,TPSQTP07R,TPSQTP07R,TP07R,Test pad,,,,,,,,,,,
TP3,TPSQTP07R,TPSQTP07R,TP07R,Test pad,,,,,,,,,,,
TP4,TPSQTP07R,TPSQTP07R,TP07R,Test pad,,,,,,,,,,,
TP5,TPSQTP07R,TPSQTP07R,TP07R,Test pad,,,,,,,,,,,
TP7,TPSQTP07R,TPSQTP07R,TP07R,Test pad,,,,,,,,,,,
TP8,TPSQTP07R,TPSQTP07R,TP07R,Test pad,,,,,,,,,,,
DEM1,TPTP06R,TPTP06R,TP06R,Test pad,,,,,,,,,,,
DEM2,TPTP06R,TPTP06R,TP06R,Test pad,,,,,,,,,,,
P1,TPTP07R,TPTP07R,TP07R,Test pad,,,,,,,,,,,
P2,TPTP07R,TPTP07R,TP07R,Test pad,,,,,,,,,,,
U19,TSH344ID,TSH344ID,SO-8,IC BUFFER TRPL VID 340MHZ 8-SOIC,497-4988-1-ND,ST Micro,TSH344IDT,$2.75,,,1,$2.75,,1,$2.75
J8,USB_A-VERTICAL,USB_A-VERTICAL,USB-A-HU,FCI 73725-0110BLF Vertical USB A,609-1041-ND,FCI,73725-0110BLF,$0.98,,,1,$0.98,,1,$0.98
U12,XC9572XL,XC9572VQ64,TQFP64,IC CPLD 72MC 10NS 64VQFP,122-1388-ND,Xilinx,XC9572XL-10VQG64C,$3.07,,,1,$3.07,,1,$3.07
U8,XRA1201L24,XRA1201L24,S-PQFP-N24-PAD,IC I/O EXPANDER I2C 16B 24QFN (pullup at power on),1016-1712-ND,Exar ,XRA1201PIL24-F,$1.78,,,1,$1.78,,1,$1.78
Y3,32kHz,XTAL_9HT4,9HT7,CRYSTAL 32.768KHZ 12.5PF SMD +/- 20ppm,887-1860-1-ND,TXC ,9HT7-32.768KDZF-T,$0.51,,,1,$0.51,,1,$0.51
Y2,TSX-3225 24MHz,XTAL_XRCGB,XTAL_2.0X1.6,CRYSTAL HYBRID 24MHZ 6PF SMD,490-5576-1-ND,Murata ,XRCGB24M000F3M00R0,$0.60,,,1,$0.60,,1,$0.60
Y1,XRCGB 25MHz,XTAL_XRCGB,XTAL_2.0X1.6,CRYSTAL 25MHZ 8PF SMD +/- 30ppm,887-2000-1-ND ,TXC ,8Y-25.000MAAV-T,$1.36,,,1,$1.36,,1,$1.36
Y4,XRCGB 25MHz,XTAL_XRCGB,XTAL_2.0X1.6,CRYSTAL HYBRID 25MHZ 6PF SMD +/- 100ppm,490-5577-1-ND,Murata ,XRCGB25M000F0L00R0,$0.60,,,1,$0.60,,1,$0.60
D2,MM3Z3V0B,ZENER_SOD-323,SOD2514X100N,DIODE ZENER 3V 200MW SOD323F,MM3Z3V0BCT-ND,Fairchild  Semi,MM3Z3V0B,$0.24,$0.22,,1,$0.24,,5,$1.20


,,,,,,,,,,,,$136.48,,,$157.56
